Movie_Name,Rating,Voting_Counts,Duration_Total,Genre,Duration_Minutes,Duration_Category,Duration
Else,6.0,276.0,1h 42m,Horror,102.0,Standard,< 2 hrs
Lumina,2.1,709.0,1h 53m,Horror,113.0,Standard,< 2 hrs
Hunting Matthew Nichols,8.8,45.0,1h 36m,Horror,96.0,Standard,< 2 hrs
Heresy,6.9,316.0,1h 1m,Horror,61.0,Short,< 2 hrs
History of Evil,3.4,833.0,1h 38m,Horror,98.0,Standard,< 2 hrs
Cadi,6.3,4400.0,2h 14m,Horror,134.0,120-150 min,2–3 hrs
Stupid Games,4.2,428.0,1h 26m,Horror,86.0,Short,< 2 hrs
Where is My Head?,6.8,84.0,1h 30m,Horror,90.0,Standard,< 2 hrs
The Mermaid,9.6,15.0,1h 45m,Horror,105.0,Standard,< 2 hrs
Kang Mak,6.4,893.0,2h 2m,Horror,122.0,120-150 min,2–3 hrs
In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,7.9,157.0,6h 3m,Horror,363.0,150+ min,3–4 hrs
Massacre at Femur Creek,6.6,571.0,1h 22m,Horror,82.0,Short,< 2 hrs
Curse of the Sin Eater,4.9,804.0,1h 30m,Horror,90.0,Standard,< 2 hrs
An Intruder Among Us,9.4,20.0,,Horror,,150+ min,3–4 hrs
All Hallows' Eve: Inferno,4.3,133.0,1h 14m,Horror,74.0,Short,< 2 hrs
Sea of Madness,6.9,30.0,1h 33m,Horror,93.0,Standard,< 2 hrs
Bigfoot Exorcist,2.7,226.0,1h 10m,Horror,70.0,Short,< 2 hrs
Broken Bird,5.7,127.0,1h 39m,Horror,99.0,Standard,< 2 hrs
Demonte Colony 2,6.6,4600.0,2h 24m,Horror,144.0,120-150 min,2–3 hrs
Gladiator II,6.5,255000.0,2h 28m,Action,148.0,120-150 min,2–3 hrs
Dune: Part Two,8.5,645000.0,2h 46m,Action,166.0,150+ min,2–3 hrs
Fight or Flight,6.4,15000.0,1h 42m,Action,102.0,Standard,< 2 hrs
Twisters,6.5,176000.0,2h 2m,Action,122.0,120-150 min,2–3 hrs
Kraven the Hunter,5.5,64000.0,2h 7m,Action,127.0,120-150 min,2–3 hrs
Deadpool & Wolverine,7.5,509000.0,2h 8m,Action,128.0,120-150 min,2–3 hrs
The Ministry of Ungentlemanly Warfare,6.8,140000.0,2h 2m,Action,122.0,120-150 min,2–3 hrs
Sonic the Hedgehog 3,6.9,66000.0,1h 50m,Action,110.0,Standard,< 2 hrs
Carry-On,6.5,173000.0,1h 59m,Action,119.0,Standard,< 2 hrs
Civil War,7.0,244000.0,1h 49m,Action,109.0,Standard,< 2 hrs
The Beekeeper,6.3,163000.0,1h 45m,Action,105.0,Standard,< 2 hrs
Venom: The Last Dance,6.0,131000.0,1h 50m,Action,110.0,Standard,< 2 hrs
Furiosa: A Mad Max Saga,7.5,292000.0,2h 28m,Action,148.0,120-150 min,2–3 hrs
Land of Bad,6.6,53000.0,1h 53m,Action,113.0,Standard,< 2 hrs
The Fall Guy,6.8,228000.0,2h 6m,Action,126.0,120-150 min,2–3 hrs
The Count of Monte-Cristo,7.6,38000.0,2h 58m,Action,178.0,150+ min,2–3 hrs
Road House,6.2,171000.0,2h 1m,Action,121.0,120-150 min,2–3 hrs
Rebel Ridge,6.8,91000.0,2h 11m,Action,131.0,120-150 min,2–3 hrs
Role Play,5.5,19000.0,1h 40m,Action,100.0,Standard,< 2 hrs
Argylle,5.6,94000.0,2h 19m,Action,139.0,120-150 min,2–3 hrs
40 Acres,6.9,448.0,1h 53m,Action,113.0,Standard,< 2 hrs
Borderlands,4.7,51000.0,1h 41m,Action,101.0,Standard,< 2 hrs
Transformers One,7.6,55000.0,1h 44m,Action,104.0,Standard,< 2 hrs
Freaky Tales,6.2,7500.0,1h 47m,Action,107.0,Standard,< 2 hrs
The Unholy Trinity,6.0,559.0,1h 35m,Action,95.0,Standard,< 2 hrs
The Killer,5.7,14000.0,2h 6m,Action,126.0,120-150 min,2–3 hrs
Damsel,6.1,112000.0,1h 50m,Action,110.0,Standard,< 2 hrs
Madame Web,4.1,104000.0,1h 56m,Action,116.0,Standard,< 2 hrs
William Tell,5.7,3200.0,2h 14m,Action,134.0,120-150 min,2–3 hrs
The Union,5.4,54000.0,1h 47m,Action,107.0,Standard,< 2 hrs
Bad Boys: Ride or Die,6.5,103000.0,1h 55m,Action,115.0,Standard,< 2 hrs
Dirty Angels,4.4,4200.0,1h 44m,Action,104.0,Standard,< 2 hrs
